id,yorum,sinif
8648,ürün güzel ama ambalajlaması kötü,Negatif
14563,henüz bir fayda saglamadi 3 hafta oldu alali ama duzenli kulanmadim,Nötr
6296,Duzenlı kullanımda çatlaklara iyi gelıo ama bı ıkı gun kullanmasam çatlaklar yıne oluşuo,Nötr
6770,Ürünün kumaşı maalesef çok kötü. Yazın üşütür kışın terletir. Yani poşetlerden geri mi dönüştürdünüz anlamadım. Ama duruşu iyi ve naylon olduğu için 834738 sene eskimeyeceğini düşündüğüm için iade etmiyorum. Çeşit olsun dursun bir köşede.,Negatif
15320,sorunsuz geldi ama başka markanın bir kirpik kıvırıcısı,Negatif
6341,rtq kulqrkak ikiz vbuw ajcuwedn mjmid bhuahtg,Nötr
12277,kötü pullanma yapıyor.,Negatif
11732,Daha kullanmadım ama ününü çok duydum umarım cildime iyi gelir,Pozitif
14807,bayağı iyi bir ürün,Pozitif
8461,Annem için aldım küçük geldi f/p????,Pozitif
5207,Ürünü alalı 1 hafta oldu 3 kez kullandım. Açıcıdan diplerime kadar yıpranmış semsert keçe gibi saçlarımı yumuşacık yaptı. İyiki almışım özellikle açıcıdan saçları yanmış kopmuş olanlara çok çok tavsiye ediyorum👍muhteşem bir ürün,Pozitif
9769,"kaliteli ve uygun fiyat.. tek tek ayiriyor, topaklanma yok ve uyusaniz bile panda gibi kalkmiyorsunuz. kesinlikle akmiyor ve yapışmiyor. favorim!",Pozitif
6187,Kapatıcılığı en yüksek fondöten diyebilirim.ıslak makyaj için tavsiye ederim,Nötr
11897,güzel ama ince baya . Boy 161 kilo 60 M beden tam oldu,Nötr
10702,İade edıyorum cunku kataloğa bastıkları kokuyla alakası yok😒😒,Negatif
4685,ürün büyük geldi gorseldekinden sac maskeside aynı şekilde teşekkürler.,Pozitif
8555,Yağlı bir cilde sahibim. Öncede bir sürü ürün kullanmak zorunda kalırdım. Ama suan tek başına hem temizleme hem nemlendirme mükemmel. Şiddetle tavsiye ederim pişman olmayacağınız bir ürün.,Pozitif
1077,Asla çekmiyor hiç kuvvetli bir ürün değil,Negatif
5247,Fena değil ama bayılmadım.,Nötr
555,Ürünün tabiri caizse 2-3 yıkamada ağzı yüzü kaydı. Çekti (siyahları 30 da yıkarım) tiftiklendi. Parasına acımayan alabilir,Nötr
12372,"ürün tam 20 günde elime ulaştı ve açtığımda paramparça haldeydi, pigmentasyonu ve kalıcılığı güzel ancak benim gibi bir talihsizlik yaşamak istemiyorsanız herhangi bir mağazadan almanız sizin için daha iyi olur",Negatif
13572,Fiyat performans oranı çok iyi.,Nötr
6138,Tam mevsimlik güzel,Pozitif
798,günlük olarak alınabilir ama kumaş kalitesi çok iyi değil biraz basit bir ürün,Negatif
14748,çok etkili değil normal,Nötr
8866,beğendim kokusunu ama baska ne faydası oldu goremedim bı sure daha kullanayım gorcez,Nötr
5900,Koltuk altı rengini açması için bir aydır düzenli kullanıyorum. Şimdilik herhangi bir etkisini görmedim.,Negatif
3637,İdare eder,Negatif
3897,kolları kısacık bacak boyu kısacık. m giyiyorum bol olsun diye l aldım resmen çocuk boyu getirdiler. inanılmaz ya.,Negatif
6051,Neden bilmiyorum ama birkaç defa kullanmama rağmen ne siyah noktalarımda ne de gözeneklerimde bir fark göremedim. Ayrıca ürün alkol içeriyor hem de üst sıralarda. Bu da uzun vadeli kullanımda cilde iyi gelmeyebilir ki bende sivilce yaptı bu yüzdendir belki de. Hayal kırıklığına uğradım çünkü herkesin çok överek analttığı bir ürün.,Nötr
4845,bu kadar kötü bir parmak boya görmedim ne çıkıyor ne de güzel kullanışı var,Negatif
11895,Fiyat olarak oldukça uygun,Pozitif
6315,kızımın kullandığı bir üründü çok güzel kapatıyor teşekkürler trendyol🥰,Pozitif
3468,"5 yıldız verdim, çünkü ümidim var... Daha önce yorum yapan arkadaşlar sayesinde kendimi hazırladım yanmaya.. İlk sürdüğümde değil de 2. dakikadan sonra cayırdamaya başladım.. Yorumlar olmasaydı çok ciddi korkuya kapılabilirdim.. Hemen taytımı giyip hergünkü gibi 12.000 adımlık yüksek tempo yürüyüşüme çıktım.. 40 dk sonra yanma hissi gidiyor.. Öyle sürüp yatarak fayda edeceğini sanmam, desteklemek de gerek.. Bir de aşağıdan yukarı doğru banyo ve selülit fırçası veya at kılı fırça da olabilir fırçalarsanız çok iyi sonuç alınacağını düşünüyorum.. Haftada 2 defa da bodyroller ile retinol ve C vitamini kullanılarak daha çok destek verilse tadından yenmez bacaklarınız hanımlar.. Kendi deneyimim, yardımcı olur belki sizlere..",Pozitif
6497,çok kalitesiz çabuk kırılıyor ve açarken pütür pütür odunu,Negatif
3029,Saçlarınızın Misler gibi kokmasını ve yumuşacık olmasını istiyorsanız kesinlikle alın,Pozitif
11746,güzel değil kalitesiz,Nötr
4808,Pütürcükler çok sert hassas ciltlere uygun değil,Negatif
12373,Alt beden iyi üst beden kolları dar,Nötr
4450,Kokusunu çok da beğenmedim.,Nötr
10381,Çok kötü. Ter kokusunu kesinlikle engellemiyor. Evde kullandığım karbonat daha başarılı.,Nötr
1085,kurulumu kolay(şarzlı tornavida önerilir) kullanımı ve hediye edilebilecek güzel ürün.,Nötr
1394,Geldiği gibi yıkadım ve tişörtün rengi kaçtı hiç giymeden,Negatif
10225,Pamuklu kesinlikle değil çok ince kumaşı idare eder rengi görseldeki gibi değil soluk bir renk ben beğenmedim,Negatif
16877,"Kalıbı geniş değil. Çok dayanıklı da görünmüyor. En çok iki yıl giyilebilir. Modeli aynı kumaşı ince, ama rahat,",Nötr
19,Çok hoş çiçek fresh bir koku 👏,Pozitif
13503,çok küçük ve dar geldi beğenmedim ben,Negatif
3583,Fiyat biraz fazla markadan kaynaklı olabilir ama marka çok iyi ve bayağı bir süre kullanabilirsiniz benim cildim çok hassas güzel bir temizleyici,Nötr
1205,ürün elime çok çabuk ulaştı gelirgelmez sürdüm cildim kadifemsi oldu fiyatına göre oldukça güzel bir ürün tavsiye ederim,Pozitif
6442,Tülbent gibi iç gösteriyor,Negatif
6308,siyah inci kalitesi?? şahane bir pijama 168 boy 53 kilo M beden,Pozitif
6874,Basic diyor alakası yok. Sadece önde iç tarafında pamuklu bir Kumaş var okadar. Bunu bilerek alın. Açıklama beni yanılttı,Negatif
12970,"iki rengini de aldım. çok kalitesiz, ilk yıkamada bütün dikişleri söküldü lastiği kopma noktasına geldi. kesinlikle tavsiye etmiyorum.",Negatif
5923,Çok güzel geldi . Kendi bedeninizden bi beden büyük alın . Ben öyle yaptım güzel oldu. Teslimat hızlı geldi teşekkür ederim,Pozitif
9698,Sakın almayın dizinde kocaman bir yırtık çıktı ????????????????????????????????,Negatif
15004,Bir beden büyük alınmalı 163 45 kiloyum m aldım,Pozitif
7121,Aldığım ürün dışı ürün geldi çok saçma birşey güvenilip Alınan birşey bu olamamalı,Negatif
6787,Güzel geldi kendi bedeninizi alın,Nötr
8211,Yüzü çok güzel nemlendiriyor yumuşacık yapıyor.,Nötr
